states,dem_votes,gop_votes,FIPS State Numeric Code
AK,2697087,3781977,2
AL,718084,1306925,1
AR,378729,677904,5
AZ,936250,1021154,4
CA,7362490,3916209,6
CO,1212209,1137455,8
CT,884432,668266,9
DC,260223,11553,11
DE,235581,185103,10
FL,4485745,4605515,12
GA,1837300,2068623,13
HI,266827,128815,15
IA,650790,798923,19
ID,189677,407199,16
IL,2977498,2118179,17
IN,1031953,1556220,18
KS,414788,656009,20
KY,628834,1202942,21
LA,779535,1178004,22
MA,1964768,1083069,25
MD,1497951,873646,24
ME,354873,334838,23
MI,2268193,2279805,26
MN,1366676,1322891,27
MO,1054889,1585753,29
MS,462001,678457,28
MT,174521,274120,30
NC,2162074,2339603,37
ND,93526,216133,38
NE,273858,485819,31
NH,348521,345789,33
NJ,2021756,1535513,34
NM,380724,315875,35
NV,537753,511319,32
NY,4143874,2640570,36
OH,2317001,2771984,39
OK,419788,947934,40
OR,934631,742506,41
PA,2844705,2912941,42
RI,249902,179421,44
SC,849469,1143611,45
SD,117442,227701,46
TN,867110,1517402,47
TX,3867816,4681590,48
UT,274188,452086,49
VA,1916845,1731156,51
VT,178179,95053,50
WA,1610524,1129120,53
WI,1380823,1403694,55
WV,187457,486198,54
WY,55949,174248,56
